"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|ES","Generation - Solar [MW] Intraday / BZN|ES","Generation - Solar [MW] Current / BZN|ES","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"21.01.2025 18:00 - 21.01.2025 18:15","214","227","170","n/e","n/e","n/e","9187","8146","8966"
"21.01.2025 18:15 - 21.01.2025 18:30","81","94","84","n/e","n/e","n/e","9190","8206","8952"
"21.01.2025 18:30 - 21.01.2025 18:45","26","37","32","n/e","n/e","n/e","9185","8270","8950"
"21.01.2025 18:45 - 21.01.2025 19:00","23","31","30","n/e","n/e","n/e","9176","8340","8962"
"21.01.2025 19:00 - 21.01.2025 19:15","16","24","9","n/e","n/e","n/e","9178","8417","9044"
"21.01.2025 19:15 - 21.01.2025 19:30","15","20","8","n/e","n/e","n/e","9178","8504","9097"
"21.01.2025 19:30 - 21.01.2025 19:45","14","18","8","n/e","n/e","n/e","9187","8602","9144"
"21.01.2025 19:45 - 21.01.2025 20:00","14","18","8","n/e","n/e","n/e","9207","8708","9188"
"21.01.2025 20:00 - 21.01.2025 20:15","16","19","12","n/e","n/e","n/e","9282","8912","9517"
"21.01.2025 20:15 - 21.01.2025 20:30","19","20","12","n/e","n/e","n/e","9318","9023","9567"
"21.01.2025 20:30 - 21.01.2025 20:45","21","21","13","n/e","n/e","n/e","9360","9130","9612"
"21.01.2025 20:45 - 21.01.2025 21:00","25","23","15","n/e","n/e","n/e","9406","9235","9650"
"21.01.2025 21:00 - 21.01.2025 21:15","36","29","10","n/e","n/e","n/e","9418","9332","9290"
"21.01.2025 21:15 - 21.01.2025 21:30","39","30","12","n/e","n/e","n/e","9465","9439","9308"
"21.01.2025 21:30 - 21.01.2025 21:45","40","31","14","n/e","n/e","n/e","9511","9548","9316"
"21.01.2025 21:45 - 21.01.2025 22:00","40","32","15","n/e","n/e","n/e","9553","9655","9317"
"21.01.2025 22:00 - 21.01.2025 22:15","42","35","12","n/e","n/e","n/e","9614","9800","10060"
"21.01.2025 22:15 - 21.01.2025 22:30","41","34","14","n/e","n/e","n/e","9645","9889","10022"
"21.01.2025 22:30 - 21.01.2025 22:45","39","34","14","n/e","n/e","n/e","9670","9961","9969"
"21.01.2025 22:45 - 21.01.2025 23:00","37","33","14","n/e","n/e","n/e","9697","10022","9910"
"21.01.2025 23:00 - 21.01.2025 23:15","35","32","8","n/e","n/e","n/e","9698","10069","10348"
"21.01.2025 23:15 - 21.01.2025 23:30","33","31","8","n/e","n/e","n/e","9754","10123","10235"
"21.01.2025 23:30 - 21.01.2025 23:45","32","29","7","n/e","n/e","n/e","9833","10182","10141"
"21.01.2025 23:45 - 22.01.2025 00:00","31","27","7","n/e","n/e","n/e","9925","10239","10064"
"22.01.2025 00:00 - 22.01.2025 00:15","25","6","6","n/e","n/e","n/e","9607","10944","10944"
"22.01.2025 00:15 - 22.01.2025 00:30","24","5","5","n/e","n/e","n/e","9624","10842","10842"
"22.01.2025 00:30 - 22.01.2025 00:45","22","5","5","n/e","n/e","n/e","9622","10754","10754"
"22.01.2025 00:45 - 22.01.2025 01:00","20","5","5","n/e","n/e","n/e","9608","10680","10680"
"22.01.2025 01:00 - 22.01.2025 01:15","18","4","4","n/e","n/e","n/e","9572","11292","11292"
"22.01.2025 01:15 - 22.01.2025 01:30","17","3","3","n/e","n/e","n/e","9566","11224","11224"
"22.01.2025 01:30 - 22.01.2025 01:45","17","3","3","n/e","n/e","n/e","9575","11168","11168"
"22.01.2025 01:45 - 22.01.2025 02:00","17","2","2","n/e","n/e","n/e","9600","11118","11118"
"22.01.2025 02:00 - 22.01.2025 02:15","19","3","3","n/e","n/e","n/e","9625","11257","11257"
"22.01.2025 02:15 - 22.01.2025 02:30","18","3","3","n/e","n/e","n/e","9669","11207","11207"
"22.01.2025 02:30 - 22.01.2025 02:45","17","2","2","n/e","n/e","n/e","9716","11165","11165"
"22.01.2025 02:45 - 22.01.2025 03:00","15","2","2","n/e","n/e","n/e","9765","11131","11131"
"22.01.2025 03:00 - 22.01.2025 03:15","13","2","2","n/e","n/e","n/e","9820","11404","11404"
"22.01.2025 03:15 - 22.01.2025 03:30","10","0","0","n/e","n/e","n/e","9867","11317","11317"
"22.01.2025 03:30 - 22.01.2025 03:45","8","0","0","n/e","n/e","n/e","9912","11259","11259"
"22.01.2025 03:45 - 22.01.2025 04:00","7","0","0","n/e","n/e","n/e","9959","11226","11226"
"22.01.2025 04:00 - 22.01.2025 04:15","5","0","0","n/e","n/e","n/e","9991","11574","11574"
"22.01.2025 04:15 - 22.01.2025 04:30","6","0","0","n/e","n/e","n/e","10055","11473","11473"
"22.01.2025 04:30 - 22.01.2025 04:45","8","0","0","n/e","n/e","n/e","10134","11378","11378"
"22.01.2025 04:45 - 22.01.2025 05:00","10","1","1","n/e","n/e","n/e","10221","11290","11290"
"22.01.2025 05:00 - 22.01.2025 05:15","18","36","36","n/e","n/e","n/e","10312","11694","11694"
"22.01.2025 05:15 - 22.01.2025 05:30","18","30","30","n/e","n/e","n/e","10395","11605","11605"
"22.01.2025 05:30 - 22.01.2025 05:45","14","21","21","n/e","n/e","n/e","10466","11531","11531"
"22.01.2025 05:45 - 22.01.2025 06:00","8","11","11","n/e","n/e","n/e","10528","11472","11472"
"22.01.2025 06:00 - 22.01.2025 06:15","0","0","0","n/e","n/e","n/e","10590","11949","11949"
"22.01.2025 06:15 - 22.01.2025 06:30","0","0","0","n/e","n/e","n/e","10643","11880","11880"
"22.01.2025 06:30 - 22.01.2025 06:45","0","0","0","n/e","n/e","n/e","10696","11822","11822"
"22.01.2025 06:45 - 22.01.2025 07:00","1","0","0","n/e","n/e","n/e","10748","11777","11777"
"22.01.2025 07:00 - 22.01.2025 07:15","13","28","28","n/e","n/e","n/e","10805","11670","11670"
"22.01.2025 07:15 - 22.01.2025 07:30","20","27","27","n/e","n/e","n/e","10847","11665","11665"
"22.01.2025 07:30 - 22.01.2025 07:45","26","24","24","n/e","n/e","n/e","10881","11671","11671"
"22.01.2025 07:45 - 22.01.2025 08:00","30","19","19","n/e","n/e","n/e","10907","11684","11684"
"22.01.2025 08:00 - 22.01.2025 08:15","37","19","19","n/e","n/e","n/e","10942","11919","11919"
"22.01.2025 08:15 - 22.01.2025 08:30","88","81","81","n/e","n/e","n/e","10956","11974","11974"
"22.01.2025 08:30 - 22.01.2025 08:45","181","206","206","n/e","n/e","n/e","10965","12014","12014"
"22.01.2025 08:45 - 22.01.2025 09:00","317","375","375","n/e","n/e","n/e","10969","12038","12038"
"22.01.2025 09:00 - 22.01.2025 09:15","947","1150","1139","n/e","n/e","n/e","10970","12071","12232"
"22.01.2025 09:15 - 22.01.2025 09:30","1381","1654","1685","n/e","n/e","n/e","10958","12059","12210"
"22.01.2025 09:30 - 22.01.2025 09:45","1882","2233","2279","n/e","n/e","n/e","10938","12030","12165"
"22.01.2025 09:45 - 22.01.2025 10:00","2417","2849","2891","n/e","n/e","n/e","10915","11986","12104"
"22.01.2025 10:00 - 22.01.2025 10:15","3355","3933","3676","n/e","n/e","n/e","10876","11957","12174"
"22.01.2025 10:15 - 22.01.2025 10:30","3918","4560","4271","n/e","n/e","n/e","10873","11885","12060"
"22.01.2025 10:30 - 22.01.2025 10:45","4403","5085","4793","n/e","n/e","n/e","10888","11803","11954"
"22.01.2025 10:45 - 22.01.2025 11:00","4815","5509","5247","n/e","n/e","n/e","10923","11724","11866"
"22.01.2025 11:00 - 22.01.2025 11:15","5310","6013","5297","n/e","n/e","n/e","10953","11624","11787"
"22.01.2025 11:15 - 22.01.2025 11:30","5620","6296","5670","n/e","n/e","n/e","11019","11593","11741"
"22.01.2025 11:30 - 22.01.2025 11:45","5888","6524","5979","n/e","n/e","n/e","11099","11603","11729"
"22.01.2025 11:45 - 22.01.2025 12:00","6114","6703","6231","n/e","n/e","n/e","11186","11648","11750"
"22.01.2025 12:00 - 22.01.2025 12:15","6400","6910","6187","n/e","n/e","n/e","11268","11671","12387"
"22.01.2025 12:15 - 22.01.2025 12:30","6538","7009","6337","n/e","n/e","n/e","11353","11755","12482"
"22.01.2025 12:30 - 22.01.2025 12:45","6628","7073","6442","n/e","n/e","n/e","11431","11869","12560"
"22.01.2025 12:45 - 22.01.2025 13:00","6674","7108","6514","n/e","n/e","n/e","11500","11983","12619"
"22.01.2025 13:00 - 22.01.2025 13:15","6740","7183","6901","n/e","n/e","n/e","11580","12117","12177"
"22.01.2025 13:15 - 22.01.2025 13:30","6727","7156","6977","n/e","n/e","n/e","11641","12216","12279"
"22.01.2025 13:30 - 22.01.2025 13:45","6696","7101","7034","n/e","n/e","n/e","11700","12300","12379"
"22.01.2025 13:45 - 22.01.2025 14:00","6639","7019","7066","n/e","n/e","n/e","11754","12362","12466"
"22.01.2025 14:00 - 22.01.2025 14:15","6666","6970","7600","n/e","n/e","n/e","11824","12473","12385"
"22.01.2025 14:15 - 22.01.2025 14:30","6534","6840","7504","n/e","n/e","n/e","11854","12472","12376"
"22.01.2025 14:30 - 22.01.2025 14:45","6357","6684","7357","n/e","n/e","n/e","11867","12432","12350"
"22.01.2025 14:45 - 22.01.2025 15:00","6136","6493","7159","n/e","n/e","n/e","11856","12358","12305"
"22.01.2025 15:00 - 22.01.2025 15:15","5943","6394","6395","n/e","n/e","n/e","11925","12329","11909"
"22.01.2025 15:15 - 22.01.2025 15:30","5645","6098","6107","n/e","n/e","n/e","11849","12212","11780"
"22.01.2025 15:30 - 22.01.2025 15:45","5312","5739","5752","n/e","n/e","n/e","11735","12086","11614"
"22.01.2025 15:45 - 22.01.2025 16:00","4928","5309","5320","n/e","n/e","n/e","11596","11953","11436"
"22.01.2025 16:00 - 22.01.2025 16:15","4781","5064","4963","n/e","n/e","n/e","11441","11823","10864"
"22.01.2025 16:15 - 22.01.2025 16:30","4191","4439","4288","n/e","n/e","n/e","11293","11683","10783"
"22.01.2025 16:30 - 22.01.2025 16:45","3488","3729","3560","n/e","n/e","n/e","11159","11542","10745"
"22.01.2025 16:45 - 22.01.2025 17:00","2729","2979","2825","n/e","n/e","n/e","11040","11405","10740"
"22.01.2025 17:00 - 22.01.2025 17:15","2093","2388","2137","n/e","n/e","n/e","10931","11271","9945"
"22.01.2025 17:15 - 22.01.2025 17:30","1412","1684","1644","n/e","n/e","n/e","10830","11157","9991"
"22.01.2025 17:30 - 22.01.2025 17:45","885","1105","1224","n/e","n/e","n/e","10735","11061","10044"
"22.01.2025 17:45 - 22.01.2025 18:00","508","656","889","n/e","n/e","n/e","10645","10978","10097"
"22.01.2025 18:00 - 22.01.2025 18:15","200","245","296","n/e","n/e","n/e","10341","10514","10100"
"22.01.2025 18:15 - 22.01.2025 18:30","80","87","120","n/e","n/e","n/e","10266","10442","10117"
"22.01.2025 18:30 - 22.01.2025 18:45","26","22","36","n/e","n/e","n/e","10197","10366","10139"
"22.01.2025 18:45 - 22.01.2025 19:00","25","18","33","n/e","n/e","n/e","10130","10285","10163"
"22.01.2025 19:00 - 22.01.2025 19:15","20","17","9","n/e","n/e","n/e","10130","10336","9831"
"22.01.2025 19:15 - 22.01.2025 19:30","17","15","8","n/e","n/e","n/e","10064","10251","9855"
"22.01.2025 19:30 - 22.01.2025 19:45","16","14","8","n/e","n/e","n/e","9994","10168","9883"
"22.01.2025 19:45 - 22.01.2025 20:00","17","13","8","n/e","n/e","n/e","9924","10084","9908"
"22.01.2025 20:00 - 22.01.2025 20:15","19","13","14","n/e","n/e","n/e","9833","10019","10255"
"22.01.2025 20:15 - 22.01.2025 20:30","22","15","16","n/e","n/e","n/e","9767","9928","10236"
"22.01.2025 20:30 - 22.01.2025 20:45","26","19","18","n/e","n/e","n/e","9704","9829","10193"
"22.01.2025 20:45 - 22.01.2025 21:00","30","24","20","n/e","n/e","n/e","9642","9729","10126"
"22.01.2025 21:00 - 22.01.2025 21:15","35","33","7","n/e","n/e","n/e","9618","9660","9797"
"22.01.2025 21:15 - 22.01.2025 21:30","37","35","8","n/e","n/e","n/e","9539","9576","9722"
"22.01.2025 21:30 - 22.01.2025 21:45","39","34","10","n/e","n/e","n/e","9446","9504","9659"
"22.01.2025 21:45 - 22.01.2025 22:00","39","31","11","n/e","n/e","n/e","9338","9431","9601"
"22.01.2025 22:00 - 22.01.2025 22:15","53","35","14","n/e","n/e","n/e","9226","9413","9976"
"22.01.2025 22:15 - 22.01.2025 22:30","53","30","15","n/e","n/e","n/e","9094","9286","9860"
"22.01.2025 22:30 - 22.01.2025 22:45","52","28","15","n/e","n/e","n/e","8951","9110","9724"
"22.01.2025 22:45 - 22.01.2025 23:00","51","27","16","n/e","n/e","n/e","8794","8900","9571"
"22.01.2025 23:00 - 22.01.2025 23:15","51","27","23","n/e","n/e","n/e","8763","8781","9397"
"22.01.2025 23:15 - 22.01.2025 23:30","51","27","23","n/e","n/e","n/e","8565","8559","9232"
"22.01.2025 23:30 - 22.01.2025 23:45","51","27","24","n/e","n/e","n/e","8349","8362","9068"
"22.01.2025 23:45 - 23.01.2025 00:00","51","27","24","n/e","n/e","n/e","8137","8192","8902"
"23.01.2025 00:00 - 23.01.2025 00:15","31","26","26","n/e","n/e","n/e","8578","8731","8731"
"23.01.2025 00:15 - 23.01.2025 00:30","32","27","27","n/e","n/e","n/e","8418","8547","8547"
"23.01.2025 00:30 - 23.01.2025 00:45","32","27","27","n/e","n/e","n/e","8254","8366","8366"
"23.01.2025 00:45 - 23.01.2025 01:00","32","27","27","n/e","n/e","n/e","8085","8192","8192"
"23.01.2025 01:00 - 23.01.2025 01:15","32","4","4","n/e","n/e","n/e","7922","8141","8141"
"23.01.2025 01:15 - 23.01.2025 01:30","31","5","5","n/e","n/e","n/e","7744","7989","7989"
"23.01.2025 01:30 - 23.01.2025 01:45","31","5","5","n/e","n/e","n/e","7565","7850","7850"
"23.01.2025 01:45 - 23.01.2025 02:00","30","6","6","n/e","n/e","n/e","7393","7720","7720"
"23.01.2025 02:00 - 23.01.2025 02:15","30","5","5","n/e","n/e","n/e","7187","7891","7891"
"23.01.2025 02:15 - 23.01.2025 02:30","30","5","5","n/e","n/e","n/e","7063","7760","7760"
"23.01.2025 02:30 - 23.01.2025 02:45","30","6","6","n/e","n/e","n/e","6974","7629","7629"
"23.01.2025 02:45 - 23.01.2025 03:00","30","6","6","n/e","n/e","n/e","6912","7501","7501"
"23.01.2025 03:00 - 23.01.2025 03:15","32","7","7","n/e","n/e","n/e","6828","7627","7627"
"23.01.2025 03:15 - 23.01.2025 03:30","31","7","7","n/e","n/e","n/e","6785","7529","7529"
"23.01.2025 03:30 - 23.01.2025 03:45","30","7","7","n/e","n/e","n/e","6737","7450","7450"
"23.01.2025 03:45 - 23.01.2025 04:00","28","7","7","n/e","n/e","n/e","6685","7385","7385"
"23.01.2025 04:00 - 23.01.2025 04:15","27","0","0","n/e","n/e","n/e","6617","7327","7327"
"23.01.2025 04:15 - 23.01.2025 04:30","24","0","0","n/e","n/e","n/e","6572","7272","7272"
"23.01.2025 04:30 - 23.01.2025 04:45","21","0","0","n/e","n/e","n/e","6536","7225","7225"
"23.01.2025 04:45 - 23.01.2025 05:00","18","0","0","n/e","n/e","n/e","6509","7187","7187"
"23.01.2025 05:00 - 23.01.2025 05:15","14","0","0","n/e","n/e","n/e","6485","6926","6926"
"23.01.2025 05:15 - 23.01.2025 05:30","12","0","0","n/e","n/e","n/e","6479","6933","6933"
"23.01.2025 05:30 - 23.01.2025 05:45","12","0","0","n/e","n/e","n/e","6480","6947","6947"
"23.01.2025 05:45 - 23.01.2025 06:00","12","0","0","n/e","n/e","n/e","6483","6962","6962"
"23.01.2025 06:00 - 23.01.2025 06:15","12","0","0","n/e","n/e","n/e","6510","6629","6629"
"23.01.2025 06:15 - 23.01.2025 06:30","13","0","0","n/e","n/e","n/e","6491","6620","6620"
"23.01.2025 06:30 - 23.01.2025 06:45","14","1","1","n/e","n/e","n/e","6451","6580","6580"
"23.01.2025 06:45 - 23.01.2025 07:00","16","2","2","n/e","n/e","n/e","6390","6512","6512"
"23.01.2025 07:00 - 23.01.2025 07:15","18","2","2","n/e","n/e","n/e","6347","6573","6573"
"23.01.2025 07:15 - 23.01.2025 07:30","19","3","3","n/e","n/e","n/e","6252","6472","6472"
"23.01.2025 07:30 - 23.01.2025 07:45","20","4","4","n/e","n/e","n/e","6144","6362","6362"
"23.01.2025 07:45 - 23.01.2025 08:00","21","5","5","n/e","n/e","n/e","6027","6244","6244"
"23.01.2025 08:00 - 23.01.2025 08:15","38","19","19","n/e","n/e","n/e","5921","6159","6159"
"23.01.2025 08:15 - 23.01.2025 08:30","130","111","111","n/e","n/e","n/e","5799","6057","6057"
"23.01.2025 08:30 - 23.01.2025 08:45","295","285","285","n/e","n/e","n/e","5680","5947","5947"
"23.01.2025 08:45 - 23.01.2025 09:00","533","511","511","n/e","n/e","n/e","5561","5828","5828"
"23.01.2025 09:00 - 23.01.2025 09:15","1426","1485","1468","n/e","n/e","n/e","5462","5790","5985"
"23.01.2025 09:15 - 23.01.2025 09:30","2047","2101","2143","n/e","n/e","n/e","5328","5638","5849"
"23.01.2025 09:30 - 23.01.2025 09:45","2751","2801","2875","n/e","n/e","n/e","5184","5471","5710"
"23.01.2025 09:45 - 23.01.2025 10:00","3500","3541","3625","n/e","n/e","n/e","5042","5303","5576"
"23.01.2025 10:00 - 23.01.2025 10:15","4794","4830","4888","n/e","n/e","n/e","4847","5120","5260"
"23.01.2025 10:15 - 23.01.2025 10:30","5594","5597","5602","n/e","n/e","n/e","4761","4994","5196"
"23.01.2025 10:30 - 23.01.2025 10:45","6308","6256","6239","n/e","n/e","n/e","4722","4908","5145"
"23.01.2025 10:45 - 23.01.2025 11:00","6932","6810","6799","n/e","n/e","n/e","4724","4859","5114"
"23.01.2025 11:00 - 23.01.2025 11:15","7653","7435","7815","n/e","n/e","n/e","4712","4803","5776"
"23.01.2025 11:15 - 23.01.2025 11:30","8126","7822","8197","n/e","n/e","n/e","4762","4805","5764"
"23.01.2025 11:30 - 23.01.2025 11:45","8524","8138","8517","n/e","n/e","n/e","4819","4819","5763"
"23.01.2025 11:45 - 23.01.2025 12:00","8857","8400","8791","n/e","n/e","n/e","4872","4838","5764"
"23.01.2025 12:00 - 23.01.2025 12:15","9236","8684","9244","n/e","n/e","n/e","4976","4889","5867"
"23.01.2025 12:15 - 23.01.2025 12:30","9468","8889","9463","n/e","n/e","n/e","4989","4900","5863"
"23.01.2025 12:30 - 23.01.2025 12:45","9662","9088","9657","n/e","n/e","n/e","4969","4900","5826"
"23.01.2025 12:45 - 23.01.2025 13:00","9821","9275","9827","n/e","n/e","n/e","4917","4883","5756"
"23.01.2025 13:00 - 23.01.2025 13:15","10042","9525","10971","n/e","n/e","n/e","4893","4895","5751"
"23.01.2025 13:15 - 23.01.2025 13:30","10145","9668","11027","n/e","n/e","n/e","4794","4837","5636"
"23.01.2025 13:30 - 23.01.2025 13:45","10223","9778","11054","n/e","n/e","n/e","4680","4757","5499"
"23.01.2025 13:45 - 23.01.2025 14:00","10281","9857","11055","n/e","n/e","n/e","4557","4663","5347"
"23.01.2025 14:00 - 23.01.2025 14:15","10333","9940","10649","n/e","n/e","n/e","4432","4558","6105"
"23.01.2025 14:15 - 23.01.2025 14:30","10362","9966","10659","n/e","n/e","n/e","4310","4459","5897"
"23.01.2025 14:30 - 23.01.2025 14:45","10377","9969","10641","n/e","n/e","n/e","4195","4368","5677"
"23.01.2025 14:45 - 23.01.2025 15:00","10356","9941","10586","n/e","n/e","n/e","4083","4282","5455"
"23.01.2025 15:00 - 23.01.2025 15:15","10476","9986","10174","n/e","n/e","n/e","3993","4202","5518"
"23.01.2025 15:15 - 23.01.2025 15:30","10297","9864","10130","n/e","n/e","n/e","3868","4106","5351"
"23.01.2025 15:30 - 23.01.2025 15:45","9998","9670","9997","n/e","n/e","n/e","3730","3998","5175"
"23.01.2025 15:45 - 23.01.2025 16:00","9551","9356","9715","n/e","n/e","n/e","3584","3881","4993"
"23.01.2025 16:00 - 23.01.2025 16:15","9334","9348","9848","n/e","n/e","n/e","3421","3743","4642"
"23.01.2025 16:15 - 23.01.2025 16:30","8471","8575","8818","n/e","n/e","n/e","3282","3626","4519"
"23.01.2025 16:30 - 23.01.2025 16:45","7391","7518","7562","n/e","n/e","n/e","3155","3517","4389"
"23.01.2025 16:45 - 23.01.2025 17:00","6169","6269","6187","n/e","n/e","n/e","3048","3430","4264"
"23.01.2025 17:00 - 23.01.2025 17:15","5246","5329","4203","n/e","n/e","n/e","2908","3279","3654"
"23.01.2025 17:15 - 23.01.2025 17:30","3932","3961","3159","n/e","n/e","n/e","2858","3278","3638"
"23.01.2025 17:30 - 23.01.2025 17:45","2760","2760","2421","n/e","n/e","n/e","2842","3332","3635"
"23.01.2025 17:45 - 23.01.2025 18:00","1770","1763","1788","n/e","n/e","n/e","2858","3426","3653"
"23.01.2025 18:00 - 23.01.2025 18:15","973","960","247","n/e","n/e","n/e","2848","3558","3940"
"23.01.2025 18:15 - 23.01.2025 18:30","458","457","285","n/e","n/e","n/e","2914","3669","4064"
"23.01.2025 18:30 - 23.01.2025 18:45","189","187","201","n/e","n/e","n/e","2999","3761","4183"
"23.01.2025 18:45 - 23.01.2025 19:00","145","147","136","n/e","n/e","n/e","3106","3848","4304"
"23.01.2025 19:00 - 23.01.2025 19:15","136","136","63","n/e","n/e","n/e","3196","3902","4722"
"23.01.2025 19:15 - 23.01.2025 19:30","129","128","61","n/e","n/e","n/e","3351","4031","4887"
"23.01.2025 19:30 - 23.01.2025 19:45","124","124","63","n/e","n/e","n/e","3533","4203","5076"
"23.01.2025 19:45 - 23.01.2025 20:00","121","121","68","n/e","n/e","n/e","3734","4409","5278"
"23.01.2025 20:00 - 23.01.2025 20:15","121","120","109","n/e","n/e","n/e","3977","4661","6347"
"23.01.2025 20:15 - 23.01.2025 20:30","119","119","102","n/e","n/e","n/e","4190","4884","6479"
"23.01.2025 20:30 - 23.01.2025 20:45","116","118","92","n/e","n/e","n/e","4399","5093","6597"
"23.01.2025 20:45 - 23.01.2025 21:00","113","117","80","n/e","n/e","n/e","4604","5293","6708"
"23.01.2025 21:00 - 23.01.2025 21:15","113","117","28","n/e","n/e","n/e","4816","5495","7284"
"23.01.2025 21:15 - 23.01.2025 21:30","107","114","24","n/e","n/e","n/e","5035","5694","7358"
"23.01.2025 21:30 - 23.01.2025 21:45","101","110","21","n/e","n/e","n/e","5269","5903","7453"
"23.01.2025 21:45 - 23.01.2025 22:00","93","106","20","n/e","n/e","n/e","5511","6121","7566"
"23.01.2025 22:00 - 23.01.2025 22:15","86","102","13","n/e","n/e","n/e","5792","6351","7785"
"23.01.2025 22:15 - 23.01.2025 22:30","78","97","13","n/e","n/e","n/e","6032","6587","7881"
"23.01.2025 22:30 - 23.01.2025 22:45","71","91","13","n/e","n/e","n/e","6260","6831","7993"
"23.01.2025 22:45 - 23.01.2025 23:00","65","86","13","n/e","n/e","n/e","6477","7075","8123"
"23.01.2025 23:00 - 23.01.2025 23:15","59","80","10","n/e","n/e","n/e","6722","7355","8328"
"23.01.2025 23:15 - 23.01.2025 23:30","55","76","9","n/e","n/e","n/e","6920","7576","8469"
"23.01.2025 23:30 - 23.01.2025 23:45","52","74","8","n/e","n/e","n/e","7110","7774","8628"
"23.01.2025 23:45 - 24.01.2025 00:00","50","73","7","n/e","n/e","n/e","7293","7956","8797"
"24.01.2025 00:00 - 24.01.2025 00:15","37","4","4","n/e","n/e","n/e","8530","8855","8855"
"24.01.2025 00:15 - 24.01.2025 00:30","33","4","4","n/e","n/e","n/e","8717","8996","8996"
"24.01.2025 00:30 - 24.01.2025 00:45","30","4","4","n/e","n/e","n/e","8882","9126","9126"
"24.01.2025 00:45 - 24.01.2025 01:00","29","4","4","n/e","n/e","n/e","9023","9244","9244"
"24.01.2025 01:00 - 24.01.2025 01:15","28","1","1","n/e","n/e","n/e","9180","8931","8931"
"24.01.2025 01:15 - 24.01.2025 01:30","26","2","2","n/e","n/e","n/e","9276","9019","9019"
"24.01.2025 01:30 - 24.01.2025 01:45","24","2","2","n/e","n/e","n/e","9352","9101","9101"
"24.01.2025 01:45 - 24.01.2025 02:00","20","4","4","n/e","n/e","n/e","9408","9177","9177"
"24.01.2025 02:00 - 24.01.2025 02:15","17","10","10","n/e","n/e","n/e","9473","8981","8981"
"24.01.2025 02:15 - 24.01.2025 02:30","14","11","11","n/e","n/e","n/e","9499","9013","9013"
"24.01.2025 02:30 - 24.01.2025 02:45","12","11","11","n/e","n/e","n/e","9514","9042","9042"
"24.01.2025 02:45 - 24.01.2025 03:00","11","10","10","n/e","n/e","n/e","9521","9073","9073"
"24.01.2025 03:00 - 24.01.2025 03:15","11","6","6","n/e","n/e","n/e","9525","9147","9147"
"24.01.2025 03:15 - 24.01.2025 03:30","10","5","5","n/e","n/e","n/e","9530","9172","9172"
"24.01.2025 03:30 - 24.01.2025 03:45","10","4","4","n/e","n/e","n/e","9538","9197","9197"
"24.01.2025 03:45 - 24.01.2025 04:00","9","2","2","n/e","n/e","n/e","9546","9220","9220"
"24.01.2025 04:00 - 24.01.2025 04:15","7","0","0","n/e","n/e","n/e","9561","9173","9173"
"24.01.2025 04:15 - 24.01.2025 04:30","7","0","0","n/e","n/e","n/e","9555","9159","9159"
"24.01.2025 04:30 - 24.01.2025 04:45","6","0","0","n/e","n/e","n/e","9536","9135","9135"
"24.01.2025 04:45 - 24.01.2025 05:00","6","0","0","n/e","n/e","n/e","9509","9108","9108"
"24.01.2025 05:00 - 24.01.2025 05:15","6","0","0","n/e","n/e","n/e","9465","9252","9252"
"24.01.2025 05:15 - 24.01.2025 05:30","6","0","0","n/e","n/e","n/e","9444","9230","9230"
"24.01.2025 05:30 - 24.01.2025 05:45","6","0","0","n/e","n/e","n/e","9434","9219","9219"
"24.01.2025 05:45 - 24.01.2025 06:00","5","0","0","n/e","n/e","n/e","9430","9218","9218"
"24.01.2025 06:00 - 24.01.2025 06:15","5","0","0","n/e","n/e","n/e","9435","9372","9372"
"24.01.2025 06:15 - 24.01.2025 06:30","5","0","0","n/e","n/e","n/e","9423","9358","9358"
"24.01.2025 06:30 - 24.01.2025 06:45","5","0","0","n/e","n/e","n/e","9400","9331","9331"
"24.01.2025 06:45 - 24.01.2025 07:00","6","0","0","n/e","n/e","n/e","9369","9293","9293"
"24.01.2025 07:00 - 24.01.2025 07:15","6","2","2","n/e","n/e","n/e","9334","8967","8967"
"24.01.2025 07:15 - 24.01.2025 07:30","7","2","2","n/e","n/e","n/e","9312","8922","8922"
"24.01.2025 07:30 - 24.01.2025 07:45","7","3","3","n/e","n/e","n/e","9303","8869","8869"
"24.01.2025 07:45 - 24.01.2025 08:00","8","4","4","n/e","n/e","n/e","9304","8812","8812"
"24.01.2025 08:00 - 24.01.2025 08:15","38","18","18","n/e","n/e","n/e","9303","8291","8291"
"24.01.2025 08:15 - 24.01.2025 08:30","156","166","166","n/e","n/e","n/e","9309","8203","8203"
"24.01.2025 08:30 - 24.01.2025 08:45","367","421","421","n/e","n/e","n/e","9309","8130","8130"
"24.01.2025 08:45 - 24.01.2025 09:00","662","726","726","n/e","n/e","n/e","9304","8077","8077"
"24.01.2025 09:00 - 24.01.2025 09:15","1766","1877","1882","n/e","n/e","n/e","9290","8012","8247"
"24.01.2025 09:15 - 24.01.2025 09:30","2474","2579","2619","n/e","n/e","n/e","9275","8008","8212"
"24.01.2025 09:30 - 24.01.2025 09:45","3231","3342","3400","n/e","n/e","n/e","9258","8037","8190"
